Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2000,Unit value index - Prev. year = 100,106.5,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2001,Unit value index - Prev. year = 100,96.5,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2001,Unit value index - Prev. year = 100,99.1,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2001,Volume index - Previous year = 100,97.034,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2001,Volume index - Previous year = 100,94.092,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2001,Value index - Previous year = 100,93.638,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2001,Value index - Previous year = 100,93.245,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2002,Value index - Previous year = 100,95.063,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2002,Value index - Previous year = 100,101.785,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2002,Volume index - Previous year = 100,96.023,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2002,Volume index - Previous year = 100,104.395,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2002,Unit value index - Prev. year = 100,99,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2002,Unit value index - Prev. year = 100,97.5,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2003,Unit value index - Prev. year = 100,102.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2003,Unit value index - Prev. year = 100,101.6,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2003,Volume index - Previous year = 100,105.507,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2003,Volume index - Previous year = 100,102.922,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2003,Value index - Previous year = 100,108.567,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2003,Value index - Previous year = 100,104.569,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2004,Value index - Previous year = 100,112.432,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2004,Value index - Previous year = 100,117.085,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2004,Volume index - Previous year = 100,108.212,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2004,Volume index - Previous year = 100,110.876,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2004,Unit value index - Prev. year = 100,103.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2004,Unit value index - Prev. year = 100,105.6,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2005,Unit value index - Prev. year = 100,107.5,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2005,Unit value index - Prev. year = 100,103.2,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2005,Volume index - Previous year = 100,105.646,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2005,Volume index - Previous year = 100,107.15,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2005,Value index - Previous year = 100,113.569,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2005,Value index - Previous year = 100,110.579,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2006,Value index - Previous year = 100,113.859,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2006,Value index - Previous year = 100,110.698,   ,WTO, 
